1	QUỐC_HỘI	I	O	47	dep
2	-	CH	O	47	punct
3	-	CH	O	1	punct
4	-	CH	O	1	punct
5	-	CH	O	10	punct
6	-	CH	O	10	punct
7	-	CH	O	10	punct
8	-	CH	O	10	punct
9	CỘNG	Ny	O	47	sub
10	HÒA	Ny	O	9	nmod
11	XÃ_HỘI_CHỦ_NGHĨA_VIỆT_NAM	Np	O	9	nmod
12	Độc_lập	Np	O	9	nmod
13	-	CH	O	12	punct
14	Tự_do	Np	O	12	nmod
15	-	CH	O	12	punct
16	Hạnh_phúc	N	O	12	nmod
17	-	CH	O	12	punct
18	-	CH	O	14	punct
19	-	CH	O	20	punct
20	-	CH	O	21	punct
21	-	CH	O	22	punct
22	-	CH	O	23	punct
23	-	CH	O	24	punct
24	-	CH	O	25	punct
25	-	CH	O	30	punct
26	-	CH	O	30	punct
27	-	CH	O	32	punct
28	-	CH	O	32	punct
29	-	CH	O	32	punct
30	-	CH	O	32	punct
31	-	CH	O	32	punct
32	Luật	N	O	9	nmod
33	số	N	O	32	nmod
34	:	CH	O	32	punct
35	73/2021/QH14Hà	Nc	O	47	sub
36	Nội	Np	O	35	nmod
37	,	CH	O	35	punct
38	ngày	N	O	35	tmp
39	30	M	O	38	det
40	tháng	N	O	38	nmod
41	3	M	O	40	det
42	năm	N	O	40	nmod
43	2021LUẬTPHÒNG	M	O	42	det
44	,	CH	O	35	punct
45	CHỐNG	Ny	O	35	nmod
46	MA	Ny	O	45	nmod
47	TÚYCăn	V	O	0	root
48	cứ	R	O	49	nmod
49	Hiến_pháp	N	O	47	dob
50	nước	N	O	49	nmod
51	Cộng_hoà_xã_hội_chủ_nghĩa_Việt_Nam	Np	B-LOC	50	nmod
52	;	CH	O	47	punct
53	Quốc_hội	N	O	54	sub
54	ban_hành	V	O	47	dep
55	Luật	N	O	54	dob
56	Phòng	N	O	55	nmod
57	,	CH	O	47	punct
58	chống	V	O	47	dep
59	ma	N	O	58	dob
60	tuý.Chương	N	O	59	nmod
61	INHỮNG	Ny	O	59	nmod
62	QUY_ĐỊNH	Ny	O	59	nmod
63	CHUNGĐiều	Np	O	59	nmod
64	1	M	O	62	det
65	.	CH	O	47	punct
1	Phạm_vi	V	O	0	root
2	điều	N	O	1	dob
3	chỉnhLuật	N	O	2	nmod
4	này	P	O	2	det
5	quy_định	V	O	1	vmod
6	về	E	O	5	vmod
7	phòng	N	O	6	pob
8	,	CH	O	5	punct
9	chống	V	O	5	vmod
10	ma_tuý	N	O	9	dob
11	;	CH	O	1	punct
12	quản_lý	V	O	1	vmod
13	người	N	O	12	dob
14	sử_dụng	V	O	13	nmod
15	trái_phép	A	O	14	vmod
16	chất	N	O	14	dob
17	ma_tuý	N	O	16	nmod
18	;	CH	O	1	punct
19	cai_nghiện	V	O	1	vmod
20	ma_tuý	N	O	19	dob
21	;	CH	O	1	punct
22	trách_nhiệm	N	O	1	sub
23	của	E	O	22	nmod
24	cá_nhân	N	O	23	pob
25	,	CH	O	24	punct
26	gia_đình	N	O	24	nmod
27	,	CH	O	24	punct
28	cơ_quan	N	O	24	nmod
29	,	CH	O	1	punct
30	tổ_chức	V	O	1	vmod
31	trong	E	O	30	loc
32	phòng	N	O	31	pob
33	,	CH	O	1	punct
34	chống	V	O	1	vmod
35	ma_tuý	N	O	34	dob
36	;	CH	O	1	punct
37	quản_lý_nhà_nước	V	O	1	vmod
38	và	Cc	O	1	coord
39	hợp_tác	V	O	38	conj
40	quốc_tế	N	O	39	vmod
41	về	E	O	39	vmod
42	phòng	N	O	41	pob
